English Word,French Translation,Type,Meaning 
Feeding,Alimentation,p. pr. & vb. n.,of Feed
Feeder,Mangeoire,n.,"One who, or that which, gives food or supplies nourishment; steward."
Fee-faw-fum,frais-faw-fum,n.,"A nonsensical exclamation attributed to giants and ogres; hence, any expression calculated to impose upon the timid and ignorant."
Feejee,Feejee,a. & n.,See Fijian.
Felt,Se sentait,imp. & p. p.,of Feel
Feeling,Sentiment,p. pr. & vb. n.,of Feel
Feel,Ressentir,v. t.,"To perceive by the touch; to take cognizance of by means of the nerves of sensation distributed all over the body, especially by those of the skin; to have sensation excited by contact of (a thing) with the body or limbs."
Feeler,Palpeur,n.,"One who, or that which, feels."
Feelingly,avec émotion,adv.,In a feeling manner; pathetically; sympathetically.
Feere,Frais,n.,"A consort, husband or wife; a companion; a fere."
Feese,Frais,n.,the short run before a leap.
Feet,Pieds,n. pl.,See Foot.
Feetless,Sans pieds,a.,"Destitute of feet; as, feetless birds."
Feeze,Feeze,v. t.,"To turn, as a screw."
Fehling,Fehling,n.,"See Fehling's solution, under Solution."
Fehmic,Fehmic,a.,See Vehmic.
Feigned,Feint,imp. & p. p.,of Feign
Feigning,Faire semblant,p. pr. & vb. n.,of Feign
Feign,Feindre,v. t.,"To give a mental existence to, as to something not real or actual; to imagine; to invent; hence, to pretend; to form and relate as if true."
Feigner,Feigneur,n.,One who feigns or pretends.
Feine,Féine,v. t. & i.,To feign.
Feint,Feinte,a.,Feigned; counterfeit.
Feitsui,Feitsui,n.,The Chinese name for a highly prized variety of pale green jade. See Jade.
Feize,Feize,v. t.,"See Feeze, v. t."
Felanders,Felanders,n. pl.,See Filanders.
Feldspar,Feldspath,n.,Alt. of Feldspath
Feldspath,feldspath,n.,"A name given to a group of minerals, closely related in crystalline form, and all silicates of alumina with either potash, soda, lime, or, in one case, baryta. They occur in crystals and crystalline masses, vitreous in luster, and breaking rather easily in two directions at right angles to each other, or nearly so. The colors are usually white or nearly white, flesh-red, bluish, or greenish."
Feldspathic,feldspathique,a.,Alt. of Feldspathose
Feldspathose,feldspathique,a.,"Pertaining to, or consisting of, feldspar."
Fele,Félé,a.,Many.
Fe-licify,Fe-licifier,v. t.,To make happy; to felicitate.
Felicitate,Féliciter,a.,Made very happy.
Felicitated,Félicité,imp. & p. p.,of Felicitate
felicitating,féliciter,p. pr. & vb. n.,of Felicitate
Felicitation,Félicitations,n.,The act of felicitating; a wishing of joy or happiness; congratulation.
Felicitous,Heureux,a.,Characterized by felicity; happy; prosperous; delightful; skilful; successful; happily applied or expressed; appropriate.
Felicities,Félicités,pl. ,of Felicity
Felicity,Félicité,n.,The state of being happy; blessedness; blissfulness; enjoyment of good.
Feline,Félin,a.,"Catlike; of or pertaining to the genus Felis, or family Felidae; as, the feline race; feline voracity."
Felis,Félis,n.,"A genus of carnivorous mammals, including the domestic cat, the lion, tiger, panther, and similar animals."
Felled,Abattu,imp. & p. p.,of Fell
Felling,Abattage,p. pr. & vb. n.,of Fell
Fellable,Abattable,a.,Fit to be felled.
Fellahin,Fellahin,pl. ,of Fellah
Fellahs,les fellahs,pl. ,of Fellah
Fellah,Fellah,n.,"A peasant or cultivator of the soil among the Egyptians, Syrians, etc."
Feller,Abatteur,n.,"One who, or that which, fells, knocks or cuts down; a machine for felling trees."
Felltare,Felltare,n.,The fieldfare.
Felliflu-ous,Felliflu-ous,a.,Flowing with gall.
Fellinic,Fellin,a.,"Of, relating to, or derived from, bile or gall; as, fellinic acid."
Fellmonger,Abatteur,n.,"A dealer in fells or sheepskins, who separates the wool from the pelts."
Fellness,Fellité,n.,The quality or state of being fell or cruel; fierce barbarity.
Felloe,Felloe,n.,See Felly.
Fellon,Tombé sur,n.,Variant of Felon.
Fellow,Compagnon,n.,A companion; a comrade; an associate; a partner; a sharer.
Fellow-commoner,Compatriote,n.,"A student at Cambridge University, England, who commons, or dines, at the Fellow's table."
Fellow-creature,Compagnon-créature,n.,One of the same race or kind; one made by the same Creator.
Fellowfeel,fraternité,v. t.,To share through sympathy; to participate in.
Fellow-feeling,Sentiment de camaraderie,n.,Sympathy; a like feeling.
Fellowless,Sans compagnon,a.,Without fellow or equal; peerless.
Fellowlike,semblable à un camarade,a.,Like a companion; companionable; on equal terms; sympathetic.
Fellowly,fraternel,a.,Fellowlike.
Fellowship,Camaraderie,n.,The state or relation of being or associate.
Fellowshiped,Boursier,imp. & p. p.,of Fellowship
Fellowshiping,Bourse,p. pr. & vb. n.,of Fellowship
Felly,Felly,adv.,In a fell or cruel manner; fiercely; barbarously; savagely.
Fellies,Fellies,pl. ,of Felly
Felos-de-se,Felos-de-se,pl. ,of Felo-de-se
Felo-de-se,Félo-de-sé,n.,"One who deliberately puts an end to his own existence, or loses his life while engaged in the commission of an unlawful or malicious act; a suicide."
Felon,Criminel,a.,A person who has committed a felony.
Felonious,Criminel,a.,"Having the quality of felony; malignant; malicious; villainous; traitorous; perfidious; in a legal sense, done with intent to commit a crime; as, felonious homicide."
Felonous,criminel,a.,Wicked; felonious.
Felonry,crime,n.,"A body of felons; specifically, the convict population of a penal colony."
Felonwort,Felonwort,n.,The bittersweet nightshade (Solanum Dulcamara). See Bittersweet.
Felonies,Crimes,pl. ,of Felony
Felony,Crime,n.,An act on the part of the vassal which cost him his fee by forfeiture.
To compound a felony,Pour aggraver un crime,,"See under Compound, v. t."
Felsite,Felsite,n.,"A finegrained rock, flintlike in fracture, consisting essentially of orthoclase feldspar with occasional grains of quartz."
Felsitic,felsitique,a.,"relating to, composed of, or containing, felsite."
Felspar,felspath,n.,Alt. of Felspath
Felspath,Sentier gangrené,n.,See Feldspar.
Felspathic,felspathique,a.,See Feldspathic.
Felstone,Gangrepierre,n.,See Felsite.
Felted,feutré,imp. & p. p.,of Felt
Felting,feutrage,p. pr. & vb. n.,of Felt
Felter,feutre,v. t.,To clot or mat together like felt.
Feltry,feutré,n.,"See Felt, n."
Felucca,felouque,n.,"A small, swift-sailing vessel, propelled by oars and lateen sails, -- once common in the Mediterranean."
Felwort,Gangremotte,n.,A European herb (Swertia perennis) of the Gentian family.
Female,Femelle,n.,"An individual of the sex which conceives and brings forth young, or (in a wider sense) which has an ovary and produces ova."
Female rhymes,rimes féminines,,"double rhymes, or rhymes (called in French feminine rhymes because they end in e weak, or feminine) in which two syllables, an accented and an unaccented one, correspond at the end of each line."
Female fern,Fougère femelle,,"a common species of fern with large decompound fronds (Asplenium Filixfaemina), growing in many countries; lady fern."
Femalist,Féministe,n.,A gallant.
Femalize,Fémaliser,v. t.,"To make, or to describe as, female or feminine."
Feme,femme,n.,A woman.
Femeral,Féminin,n.,See Femerell.
Femerell,Femerell,n.,"A lantern, or louver covering, placed on a roof, for ventilation or escape of smoke."
Feminal,Féminin,a.,Feminine.
Feminality,Féminité,n.,Feminity.
Feminate,Féminin,a.,Feminine.
Femineity,Féminité,n.,Womanliness; femininity.
Feminine,Féminin,a.,"Of or pertaining to a woman, or to women; characteristic of a woman; womanish; womanly."
Feminine rhyme,rime féminine,,"See Female rhyme, under Female, a."
Femininely,Féminine,adv.,In a feminine manner.
Feminineness,Féminité,n.,The quality of being feminine; womanliness; womanishness.
Femininity,La féminité,n.,The quality or nature of the female sex; womanliness.
Feminity,Féminité,n.,Womanliness; femininity.
Feminization,Féminisation,n.,"The act of feminizing, or the state of being feminized."
Feminize,Féminiser,v. t.,To make womanish or effeminate.
Feminye,Féminine,n.,The people called Amazons.
Femme,Femme,n.,"A woman. See Feme, n."
Femoral,Fémoral,a.,"Pertaining to the femur or thigh; as, the femoral artery."
Femora,fémurs,pl. ,of Femur
Femur,Fémur,n.,The thigh bone.
Fen,Marais,n.,"Low land overflowed, or covered wholly or partially with water, but producing sedge, coarse grasses, or other aquatic plants; boggy land; moor; marsh."
Fence,Clôture,n.,That which fends off attack or danger; a defense; a protection; a cover; security; shield.
Fencing,Escrime,imp. & p. p. Fenced (/); p. pr. & vb. n.,of Fence
Fenceful,Clôturé,a.,Affording defense; defensive.
Fenceless,sans clôture,a.,Without a fence; uninclosed; open; unguarded; defenseless.
Fencer,Escrimeur,n.,One who fences; one who teaches or practices the art of fencing with sword or foil.
Fenci-ble,Fenci-ble,a.,"Capable of being defended, or of making or affording defense."
Fencible,Fencible,n.,A soldier enlisted for home service only; -- usually in the pl.
Fen cricket,Grillon des marais,,The mole cricket.
Fend,Repousser,n.,A fiend.
Fended,Fendue,imp. & p. p.,of Fend
Fending,défense,p. pr. & vb. n.,of Fend
Fender,Aile,v. t. & i.,One who or that which defends or protects by warding off harm
Fendliche,Fendliche,a.,Fiendlike.
Fenerate,Fénérate,v. i.,To put money to usury; to lend on interest.
Feneration,Fénération,n.,The act of fenerating; interest.
Fenes-tella,Fenes-tella,n.,"Any small windowlike opening or recess, esp. one to show the relics within an altar, or the like."
Fenestrae,Fenêtres,pl. ,of Fenestra
Fenestra,Fenestra,n.,"A small opening; esp., one of the apertures, closed by membranes, between the tympanum and internal ear."
Fenestral,Fenestral,a.,Pertaining to a window or to windows.
Fenestrate,Fenestrer,a.,"Having numerous openings; irregularly reticulated; as, fenestrate membranes; fenestrate fronds."
Fenestrated,Fenestré,a.,Having windows; characterized by windows.
Fenestration,Fenestration,n.,"The arrangement and proportioning of windows; -- used by modern writers for the decorating of an architectural composition by means of the window (and door) openings, their ornaments, and proportions."
Fenestrule,Fenestrule,n.,One of the openings in a fenestrated structure.
Fengite,Fengite,n.,"A kind of marble or alabaster, sometimes used for windows on account of its transparency."
Fenian,Fenian,n.,"A member of a secret organization, consisting mainly of Irishment, having for its aim the overthrow of English rule in ireland."
Fenianism,fénianisme,n.,"The principles, purposes, and methods of the Fenians."
Fenks,Fenks,n.,"The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue."
Fennec,Fennec,n.,"A small, African, foxlike animal (Vulpes zerda) of a pale fawn color, remarkable for the large size of its ears."
Fennel,Fenouil,n.,"A perennial plant of the genus Faeniculum (F. vulgare), having very finely divided leaves. It is cultivated in gardens for the agreeable aromatic flavor of its seeds."
Fennish,fennois,a.,Abounding in fens; fenny.
Fenny,Fenny,a.,"Pertaining to, or inhabiting, a fen; abounding in fens; swampy; boggy."
Fenowed,Fenoued,a.,Corrupted; decayed; moldy. See Vinnewed.
Fensi-ble,Fensi-ble,a.,Fencible.
Fen-sucked,Fen-aspiré,a.,Sucked out of marches.
Fenugreek,Fenugrec,n.,"A plant (trigonella Foenum Graecum) cultivated for its strong-smelling seeds, which are"
Feod,Nourrir,n.,A feud. See 2d Feud.
Feodal,Féodal,a.,Feudal. See Feudal.
Feodality,Féodalité,n.,Feudal tenure; the feudal system. See Feudality.
Feodary,Féodaire,n.,An accomplice.
Feodatory,Alimentaire,n.,See Feudatory.
Feoffed,Féoffé,imp. & p. p.,of Feoff
Feoffing,Feoffing,p. pr. & vb. n.,of Feoff
Feoff,Féoff,v. t.,To invest with a fee or feud; to give or grant a corporeal hereditament to; to enfeoff.
Feoffee,Feoffee,n.,The person to whom a feoffment is made; the person enfeoffed.
Feoffment,Feoffing,n.,The grant of a feud or fee.
Feofor,Feofor,n.,Alt. of Feoffer
Feoffer,Feoffer,n.,One who enfeoffs or grants a fee.
Fer,Fer,a. & adv.,Far.
Feracious,Féroce,a.,Fruitful; producing abundantly.
Feracity,Féracité,n.,The state of being feracious or fruitful.
Ferae,Féraé,n. pl.,"A group of mammals which formerly included the Carnivora, Insectivora, Marsupialia, and lemurs, but is now often restricted to the Carnivora."
Ferae naturae,Ferae naturae,,"Of a wild nature; -- applied to animals, as foxes, wild ducks, etc., in which no one can claim property."
Feral,Sauvage,a.,"Wild; untamed; ferine; not domesticated; -- said of beasts, birds, and plants."
Ferde,Ferde,,imp. of Fare.
Fer-de-lance,Fer-de-lance,n.,"A large, venomous serpent (Trigonocephalus lanceolatus) of Brazil and the West Indies. It is allied to the rattlesnake, but has no rattle."
Ferding,Ferding,n.,A measure of land mentioned in Domesday Book. It is supposed to have consisted of a few acres only.
Ferdness,la ferveur,n.,Fearfulness.
Fere,Fère,n.,A mate or companion; -- often used of a wife.
Feretory,Férocité,n.,"A portable bier or shrine, variously adorned, used for containing relics of saints."
Ferforth,Ferforth,adv.,Far forth.
Ferforthly,avec ferveur,adv.,Ferforth.
Fergusonite,Fergusonite,n.,"A mineral of a brownish black color, essentially a tantalo-niobate of yttrium, erbium, and cerium; -- so called after Robert Ferguson."
Feriae,Feriae,pl. ,of Feria
Feria,Féria,n.,"A week day, esp. a day which is neither a festival nor a fast."
Ferial,Ferial,n.,Same as Feria.
Feriation,Fériation,n.,The act of keeping holiday; cessation from work.
Ferie,Ferie,n.,A holiday.
Ferier,Férier,a.,"compar. of Fere, fierce."
Ferine,Férine,a.,"Wild; untamed; savage; as, lions, tigers, wolves, and bears are ferine beasts."
Feringee,Feringée,n.,The name given to Europeans by the Hindos.
Ferity,Acharnement,n.,Wildness; savageness; fierceness.
Ferly,Ferly,n.,Singular; wonderful; extraordinary.
Fermacy,Fermacie,n.,Medicine; pharmacy.
Ferm,Ferm,n.,Alt. of Ferme
Ferme,Ferme,n.,"Rent for a farm; a farm; also, an abode; a place of residence; as, he let his land to ferm."
